App Name,App ID,Developer,Downloads (Text),Downloads (Min Num),Release Date,Days Online,Rating,Ratings Count,Reviews Count,URL
Saylo: AI Character Story Chat,com.xverse.aistory,X Original,"1,000,000+",1000000,2024-05-05,626,4.329753,45751,3134,https://play.google.com/store/apps/details?id=com.xverse.aistory&hl=en&gl=us
Perplexity - Ask Anything,ai.perplexity.app.android,PerplexityAI,"50,000,000+",50000000,2023-05-24,973,4.651272,1736353,11744,https://play.google.com/store/apps/details?id=ai.perplexity.app.android&hl=en&gl=us
​​Microsoft Copilot,com.microsoft.copilot,Microsoft Corporation,"50,000,000+",50000000,2023-12-19,764,4.734989,2103349,29686,https://play.google.com/store/apps/details?id=com.microsoft.copilot&hl=en&gl=us
DeepSeek - AI Assistant,com.deepseek.chat,DeepSeek,"50,000,000+",50000000,2025-01-08,378,4.213299,239337,5625,https://play.google.com/store/apps/details?id=com.deepseek.chat&hl=en&gl=us
Rosytalk: AI Character Chat,com.rosytalk.ai,MINDZEN AI,"1,000,000+",1000000,2024-02-24,697,4.6135373,22887,1860,https://play.google.com/store/apps/details?id=com.rosytalk.ai&hl=en&gl=us
Question.AI - Chatbot&Math AI,com.qianfan.aihomework,D3 DIMENSION TECHNOLOGY PTE.LTD.,"10,000,000+",10000000,2023-05-29,968,4.655983,228954,12828,https://play.google.com/store/apps/details?id=com.qianfan.aihomework&hl=en&gl=us
AI Dungeon: RPG & Story Maker,com.aidungeon,Latitude Inc.,"1,000,000+",1000000,2019-12-17,2227,4.026871,104756,19114,https://play.google.com/store/apps/details?id=com.aidungeon&hl=en&gl=us
Sider: AI GPT Deep Chat,ai.sider.ChatGPT.android,Sider.ai,"500,000+",500000,2023-06-06,960,4.48,10979,163,https://play.google.com/store/apps/details?id=ai.sider.ChatGPT.android&hl=en&gl=us
invideo AI: AI Video Generator,io.invideo.ai,invideo INC,"5,000,000+",5000000,2024-05-19,612,4.214407,128188,2913,https://play.google.com/store/apps/details?id=io.invideo.ai&hl=en&gl=us
Replika: My AI Friend,ai.replika.app,"Luka, Inc","10,000,000+",10000000,2017-09-08,3057,4.2786984,521795,80037,https://play.google.com/store/apps/details?id=ai.replika.app&hl=en&gl=us
AI Chatbot - Nova,com.scaleup.chatai,ScaleUp,"50,000,000+",50000000,2023-03-03,1055,3.8535542,2048675,24344,https://play.google.com/store/apps/details?id=com.scaleup.chatai&hl=en&gl=us
Fantasia: Character AI Chat,com.fantasia.ai,MINDZEN AI,"1,000,000+",1000000,2024-02-29,692,4.400701,33873,1820,https://play.google.com/store/apps/details?id=com.fantasia.ai&hl=en&gl=us
Kindroid: Your Personal AI,com.kindroid.app,Kindroid,"1,000,000+",1000000,2023-07-28,908,4.4274735,19567,1886,https://play.google.com/store/apps/details?id=com.kindroid.app&hl=en&gl=us
Ask AI - Chat with AI Chatbot,com.codeway.chatapp,Deep Flow Apps,"10,000,000+",10000000,2023-03-03,1055,4.449884,1083666,10509,https://play.google.com/store/apps/details?id=com.codeway.chatapp&hl=en&gl=us
Chat Smith: AI Chatbot & Agent,com.smartwidgetlabs.chatgpt,Smart Widget Labs Co Ltd,"10,000,000+",10000000,2022-12-21,1127,4.232587,529264,6037,https://play.google.com/store/apps/details?id=com.smartwidgetlabs.chatgpt&hl=en&gl=us
Poe - Fast AI Chat,com.poe.android,"Quora, Inc.","5,000,000+",5000000,2023-05-22,975,4.556318,449518,5205,https://play.google.com/store/apps/details?id=com.poe.android&hl=en&gl=us
ChatBox: AI Chat Bot Assistant,chatgpt.ai.chatbot.open.chat.gpt.bot.writer.assistant,FLORATE LIMITED,"5,000,000+",5000000,2023-04-14,1013,4.52461,94643,1244,https://play.google.com/store/apps/details?id=chatgpt.ai.chatbot.open.chat.gpt.bot.writer.assistant&hl=en&gl=us
Flipped:Chat with AI Character,com.dating.ai,First Group pte ltd,"1,000,000+",1000000,2024-03-19,673,4.392962,14532,1173,https://play.google.com/store/apps/details?id=com.dating.ai&hl=en&gl=us
WristAI: GPT Ai for smartwatch,com.cromacompany.wristai,Croma Company,"10,000+",10000,2024-09-14,494,3.6,85,9,https://play.google.com/store/apps/details?id=com.cromacompany.wristai&hl=en&gl=us
Blush: AI Dating Simulator,ai.blush,Blush AI,"1,000,000+",1000000,2023-09-19,855,4.419426,14126,1078,https://play.google.com/store/apps/details?id=ai.blush&hl=en&gl=us
HiAI Chat - Make AI Friends,com.ai.character,YIYA Duck,"1,000,000+",1000000,2025-02-26,329,4.23301,22653,207,https://play.google.com/store/apps/details?id=com.ai.character&hl=en&gl=us
ChatOn - AI Chat Bot Assistant,ai.chat.gpt.bot,AIBY Inc.,"10,000,000+",10000000,2023-01-10,1107,4.540208,408950,4759,https://play.google.com/store/apps/details?id=ai.chat.gpt.bot&hl=en&gl=us
Manus AI,tech.butterfly.app,BUTTERFLY EFFECT PTE. LTD.,"1,000,000+",1000000,2025-04-23,273,4.6717997,202439,1626,https://play.google.com/store/apps/details?id=tech.butterfly.app&hl=en&gl=us
Deep Think - AI Seek Chatbot,ai.chatbot.ask.chat.deep.seek.assistant.search.free,Guru AI Lab,"1,000,000+",1000000,2025-01-22,364,4.7157536,49569,512,https://play.google.com/store/apps/details?id=ai.chatbot.ask.chat.deep.seek.assistant.search.free&hl=en&gl=us
HiWaifu: AI Friend & Waifu Hub,com.hiwaifu.app,LANGUAGE POWER,"5,000,000+",5000000,2023-04-08,1019,4.237082,69967,3648,https://play.google.com/store/apps/details?id=com.hiwaifu.app&hl=en&gl=us
AI Photo Generator - AURA AI,com.superapplabs.aura,Superapp Labs,"1,000,000+",1000000,2025-03-18,309,4.5490565,95508,412,https://play.google.com/store/apps/details?id=com.superapplabs.aura&hl=en&gl=us
Agnes - Your AI for life,com.sobrr.agnes,SINGAPORE SAPIENS TECHNOLOGY PTE. LTD.,"5,000,000+",5000000,2025-07-07,198,3.9745762,5312,91,https://play.google.com/store/apps/details?id=com.sobrr.agnes&hl=en&gl=us
Galaxy.ai,com.galaxyAi.app,GALAXYAI INC,"100,000+",100000,2025-03-18,309,4.544554,1412,848,https://play.google.com/store/apps/details?id=com.galaxyAi.app&hl=en&gl=us
Claude by Anthropic,com.anthropic.claude,Anthropic PBC,"5,000,000+",5000000,2024-07-11,559,4.6055136,177413,5643,https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en&gl=us
TiKie: AI Fantasy & Roleplay,com.tikie.ai.android,Junoverse,"1,000,000+",1000000,2024-11-27,420,4.3239436,4571,512,https://play.google.com/store/apps/details?id=com.tikie.ai.android&hl=en&gl=us
Gooka: Unlimited AI Chat,com.tings.ana,ALWAYS WITH YOU LLC.,"100,000+",100000,2024-07-25,545,4.4158416,3334,56,https://play.google.com/store/apps/details?id=com.tings.ana&hl=en&gl=us
BIMOBIMO,com.beemo.ai.flutter_beemo,BIMOBIMO,"1,000,000+",1000000,2024-07-04,566,4.7643313,32359,427,https://play.google.com/store/apps/details?id=com.beemo.ai.flutter_beemo&hl=en&gl=us
AI Chat App - AI Chat bot,ai.chat.pro.plus.smart.chatbot.ai.writing.tool,App Holdings,"1,000,000+",1000000,2023-03-14,1044,4.15,31372,167,https://play.google.com/store/apps/details?id=ai.chat.pro.plus.smart.chatbot.ai.writing.tool&hl=en&gl=us
Gemmy AI: Chat & Assistant,com.jetkite.gemmy,Jetkite,"5,000,000+",5000000,2024-02-14,707,4.578635,207884,441,https://play.google.com/store/apps/details?id=com.jetkite.gemmy&hl=en&gl=us
Kling AI: AI Image&Video Maker,kling.ai.video.chat,Lohas Games Pte. Ltd.,"10,000,000+",10000000,2025-01-20,366,4.5104,245325,1810,https://play.google.com/store/apps/details?id=kling.ai.video.chat&hl=en&gl=us
Leonardo.Ai - Image Generator,ai.leonardo.leonardo,Leonardo.Ai,"5,000,000+",5000000,2024-09-11,497,4.813449,61901,813,https://play.google.com/store/apps/details?id=ai.leonardo.leonardo&hl=en&gl=us
Hypic - Photo Editor & AI Art,com.xt.retouchoversea,Bytedance Pte. Ltd.,"50,000,000+",50000000,2023-01-03,1114,4.2185793,217914,1268,https://play.google.com/store/apps/details?id=com.xt.retouchoversea&hl=en&gl=us
AI Video Generator: Collart AI,free.ai.photo.generator.collart.ai,Shotcut Video Workshop,"1,000,000+",1000000,2024-04-02,659,4.548077,10460,219,https://play.google.com/store/apps/details?id=free.ai.photo.generator.collart.ai&hl=en&gl=us
Chatbot - AI Smart Assistant,ai.chat.app,HubX,"5,000,000+",5000000,2024-02-16,705,4.4777985,148617,1995,https://play.google.com/store/apps/details?id=ai.chat.app&hl=en&gl=us
Photify AI: AI Photo Generator,ai.photify.app,"Ex-human, Inc","1,000,000+",1000000,2023-12-15,768,4.164502,29330,497,https://play.google.com/store/apps/details?id=ai.photify.app&hl=en&gl=us
